destino,city_code,hotel_code,hotel_name,hotel_city_code,area_id,giata_id,country_iso_code,country_name,address,email,latitude,longitude,rating
Baracoa,BAR,HTLBCOAVMA,VILLA MAGUANA,BAR,BARACOA,124223.0,CU,CUBA,CARRETERA A / MOA KM 22,"reservas@gavbcoa.co.cu,booking@distalcaribe.co.cu",20.465853,-74.584209,4.0
Baracoa,BAR,HGTMGAPSAA,HOTEL PORTO SANTO,BAR,BARACOA,19312.0,CU,CUBA,CARRETERA DEL AEROPUERTO RPTO. JAITESICO,reservas@gavbcoa.co.cu;booking@distalcaribe.co.cu,20.357774,-74.505195,3.0
Camaguey,CAM,HTLCMGSJDD,HOTEL E SAN JUAN DE DIOS,CAM,CAMAGUEY,1449698.0,CU,CUBA,SAN JUAN DE DIOS / SAN RAFAEL Y PADRE O.,leonor@ehoteles.cmg.tur.cu,21.376104,-77.917254,4.0
Camaguey,CAM,HCMGMGHC,GRAN HOTEL CAMAGUEY ,CAM,CAMAGUEY,26600.0,CU,CUBA,MACEO NO.64/GENERAL GÓMEZ E IGNACIO AG,reserva@granhotel.cmg.tur.cu; booking@distalcaribe.co.cu,21.382231,-77.917247,3.0
Camaguey,CAM,HCMGIAZCMG, HOTEL CAMAGUEY,CAM,CAMAGUEY,103243.0,CU,CUBA,CARRETERA CENTRAL ESTE KM. 4 &#189,programadora1@cr.islazul.tur.cu,21.362507,-77.886028,2.0
Camaguey,CAM,HCMGHISC,HOTEL ISLA DE CUBA ,CAM,CAMAGUEY,367787.0,CU,CUBA,"SAN ESTEBAN, NO. 453, ESQ. A POPULAR",nan,21.386446,-77.913446,3.0
Camaguey,CAM,HCMGHFLR,HOTEL FLORIDA,CAM,CAMAGUEY,367786.0,CU,CUBA,"CARRETERA CENTRAL, KM 536, FLORIDA",nan,21.531281,-78.233770,2.0
Camaguey,CAM,HCMGCUSM,HOTEL SANTA MARIA BY MYSTIQUE,CAM,CAMAGUEY,612125.0,CU,CUBA,"CALLE REPÚBLICA, ESQ A IGNACIO AGRAMONTE",ventas@ehoteles.cmg.tur.cu;booking@distalcaribe.co.cu,21.382906,-77.916828,4.0
Camaguey,CAM,HCMGCBM, HOTEL  ENCANTO EL MARQUES,CAM,CAMAGUEY,406552.0,CU,CUBA,CISNEROS NO.222 E/ HMNOS AGÜERO Y MARTI,ventas@ehoteles.cmg.tur.cu,21.380378,-77.919112,4.0
Cayo Coco,CAY,HTLTRYPCC,TRYP CAYO COCO,CAY,CAYO COCO,1715.0,CU,CUBA,"AVENIDA JARDINES DEL REY, CAYO COCO,",nan,22.540902,-78.370708,4.0
Cayo Coco,CAY,HPCCCH,HOTEL PLAYA PARAISO RESORT & SUITE,CAY,CAYO COCO,372735.0,CU,CUBA,CAYO COCO,reservas@playaparaiso.co.cu;jefe.ventas@playaparaiso.co.cu,22.541254,-78.431239,4.0
Cayo Coco,CAY,HCYCMEMCAR,HOTEL MEMORIES CARIBE BEACH RESORT - ADULTS ONLY ,CAY,CAYO COCO,140194.0,CU,CUBA,"CAYO COCO, JARDINES DEL REY, CUBA.",nan,22.526548,-78.456019,4.0
Cayo Coco,CAY,HCYCMEMCAH,HOTEL MEMORIES CARIBE BEACH RESORT - ADULTS ONLY ,CAY,CAYO COCO,140194.0,CU,CUBA,"CAYO COCO, JARDINES DEL REY, CUBA.",nan,22.526548,-78.456019,4.0
Cayo Coco,CAY,HCYCACCPUD,MELIA COSTA REY,CAY,CAYO COCO,423994.0,CU,CUBA,"PLAYAS LAS COLORADAS,67210 CAYO COCO,",nan,22.532983,-78.348548,5.0
Cayo Coco,CAY,HCCSOLCCCD,HOTEL SOL CAYO COCO,CAY,CAYO COCO,5903.0,CU,CUBA,JARDINES DEL REY,nan,22.536223,-78.355302,4.0
Cayo Coco,CAY,HCCSOLCCC,HOTEL SOL CAYO COCO,CAY,CAYO COCO,5903.0,CU,CUBA,JARDINES DEL REY,nan,22.536223,-78.355302,4.0
Cayo Coco,CAY,HCCMELCCD,HOTEL MELIA CAYO COCO,CAY,CAYO COCO,6950.0,CU,CUBA,"JARDINES DEL REY MORON CAYO COCO, 69400",nan,22.535027,-78.353701,5.0
Cayo Coco,CAY,HCCMELCC,HOTEL MELIA CAYO COCO,CAY,CAYO COCO,6950.0,CU,CUBA,"JARDINES DEL REY MORON CAYO COCO, 69400",nan,22.535027,-78.353701,5.0
Cayo Coco,CAY,HCCCPLCH,HOTEL PLAYA COCO,CAY,CAYO COCO,77875.0,CU,CUBA,"JARDINES DEL REY, CAYO COCO",reservas@playacoco.co.cu,22.525374,-78.459978,4.0
Cayo Coco,CAY,HCCCMELJDR,MELIA JARDINES DEL REY,CAY,CAYO COCO,405946.0,CU,CUBA,CAYO COCO JARDINES DEL REY,nan,22.543162,-78.428926,5.0
Cayo Coco,CAY,HCCCMELJDD,MELIA JARDINES DEL REY,CAY,CAYO COCO,405946.0,CU,CUBA,CAYO COCO JARDINES DEL REY,nan,22.543162,-78.428926,5.0
Cayo Coco,CAY,HCCCIBMOJ,HOTEL MOJITO,CAY,CAYO COCO,75553.0,CU,CUBA,"CAYO COCO, JARDINES DEL REY",booking@distalcaribe.co.cu,22.537610,-78.364835,4.0
Cayo Coco,CAY,HCCCBDMFH,HOTEL MEMORIES FLAMENCO BEACH RESORT,CAY,CAYO COCO,261032.0,CU,CUBA,"CAYO COCO, JARDINES DEL REY, CUBA.14 KM",nan,22.539753,-78.436101,5.0
Cayo Coco,CAY,HCCCBDMF,HOTEL MEMORIES FLAMENCO BEACH RESORT,CAY,CAYO COCO,261032.0,CU,CUBA,"CAYO COCO, JARDINES DEL REY, CUBA.14 KM",nan,22.539753,-78.436101,5.0
Cayo Cruz,CYCZ,HHOLIBSESM,HOTEL IBEROSTAR SELECTION ESMERALDA,CYCZ,CAYO CRUZ,1292322.0,CU,CUBA,CAYO CRUZ - ESMERALDA,nan,22.240290,-77.820589,5.0
Cayo Cruz,CYCZ,HHOLIBSESD,HOTEL IBEROSTAR SELECTION ESMERALDA,CYCZ,CAYO CRUZ,1292322.0,CU,CUBA,CAYO CRUZ - ESMERALDA,nan,22.242292,-77.820554,5.0
Cayo Cruz,CYCZ,HHOLCUESMD,IBEROSTAR CORAL ESMERALDA,CYCZ,CAYO CRUZ,1247874.0,CU,CUBA,CAYO CRUZ - ESMERALDA,nan,22.240290,-77.820589,5.0
Cayo Cruz,CYCZ,HHOLCUESM,IBEROSTAR CORAL ESMERALDA,CYCZ,CAYO CRUZ,1247874.0,CU,CUBA,CAYO CRUZ - ESMERALDA,nan,22.240290,-77.820589,5.0
Cayo Cruz,CYCZ,HCYOCRUZVA,HOTEL VALENTIN CAYO CRUZ,CYCZ,CAYO CRUZ,1199201.0,CU,CUBA,"CAYO CRUZ, JARDINES DEL REY, ESMERALDA,",nan,22.237477,-77.817987,4.0
Cayo Cruz,CYCZ,HCRUSWSANH,SANCTUARY WHITE SANDS,CYCZ,CAYO CRUZ,1422588.0,CU,CUBA,"CAYO CRUZ, CAMAGÜEY, ZIP CODE: 74120",nan,22.243440,-77.822362,5.0
Cayo Cruz,CYCZ,HCRUSWSAND,SANCTUARY WHITE SANDS,CYCZ,CAYO CRUZ,1422588.0,CU,CUBA,"CAYO CRUZ, CAMAGÜEY, ZIP CODE: 74120",nan,22.243440,-77.822362,5.0
Cayo Cruz,CYCZ,HCGAVMPS,HOTEL MARINA PLAZA & SPA,CYCZ,CAYO CRUZ,1162364.0,CU,CUBA,"VIAL SECUNDARIO 1, CAYO CRUZ, ESMERALDA",esp.comercial@plazacayocruz.gaviota.cu,22.236290,-77.820650,4.0
Cayo Guillermo,CAYG,HGMUTRLGBT,GRAN MUTHU RAINBOW,CAYG,CAYO GUILLERMO,1124859.0,CU,CUBA,"CYO GUILLERMO, CIEGO DE AVILA, CUBA",jefe.reservas@mgmrainbow.co.cu; booking@distalcaribe.co.cu,22.604639,-78.671158,5.0
Cayo Guillermo,CAYG,HCGUISFISH,STARFISH CAYO GUILLERMO,CAYG,CAYO GUILLERMO,34003.0,CU,CUBA,STARFISH CAYO GUILLERMO,nan,22.574871,-78.641907,3.0
